# EF in g/m/veh assuming a fleet distribution similar to Makelankatu
start time, end time, traffic to city (veh/h), traffic from city (veh/h), PM, BC, OC, NOx, NO, NO2, VOC, OCSV, alkanes, SO2, N2O, NH3, E (J/m), FC_VTT, FC_EEA
2017-06-09 00:00:00, 2017-06-09 00:59:00, 233.79999999999998, 218.39999999999998, 1.129e-05, 8.033e-06, 2.420e-06, 5.051e-04, 3.956e-04, 1.095e-04, 2.750e-05, 2.750e-07, 1.100e-05, 1.317e-06, 1.119e-05, 3.342e-05, 5.212e+03, 1.249e-01, 1.214e-01
2017-06-09 01:00:00, 2017-06-09 01:59:00, 137.89999999999998, 133.7, 1.166e-05, 8.293e-06, 2.503e-06, 5.335e-04, 4.213e-04, 1.121e-04, 2.823e-05, 2.823e-07, 1.129e-05, 1.333e-06, 1.122e-05, 3.296e-05, 5.293e+03, 1.270e-01, 1.233e-01
2017-06-09 02:00:00, 2017-06-09 02:59:00, 88.89999999999999, 86.1, 1.219e-05, 8.666e-06, 2.617e-06, 5.603e-04, 4.441e-04, 1.162e-04, 2.941e-05, 2.941e-07, 1.176e-05, 1.229e-06, 1.073e-05, 3.334e-05, 4.822e+03, 1.180e-01, 1.122e-01
2017-06-09 03:00:00, 2017-06-09 03:59:00, 71.39999999999999, 75.6, 1.217e-05, 8.656e-06, 2.613e-06, 5.589e-04, 4.429e-04, 1.161e-04, 2.938e-05, 2.938e-07, 1.175e-05, 1.227e-06, 1.072e-05, 3.337e-05, 4.809e+03, 1.177e-01, 1.119e-01
2017-06-09 04:00:00, 2017-06-09 04:59:00, 105.0, 112.0, 1.175e-05, 8.373e-06, 2.521e-06, 5.215e-04, 4.083e-04, 1.132e-04, 2.865e-05, 2.865e-07, 1.146e-05, 1.151e-06, 1.046e-05, 3.435e-05, 4.451e+03, 1.098e-01, 1.035e-01
2017-06-09 05:00:00, 2017-06-09 05:59:00, 284.2, 221.2, 1.072e-05, 7.676e-06, 2.295e-06, 4.295e-04, 3.231e-04, 1.063e-04, 2.685e-05, 2.685e-07, 1.074e-05, 9.649e-07, 9.828e-06, 3.675e-05, 3.569e+03, 9.023e-02, 8.280e-02
2017-06-09 06:00:00, 2017-06-09 06:59:00, 951.3, 452.9, 1.169e-05, 8.331e-06, 2.505e-06, 5.217e-04, 4.080e-04, 1.137e-04, 2.900e-05, 2.900e-07, 1.160e-05, 1.199e-06, 1.069e-05, 3.416e-05, 4.671e+03, 1.140e-01, 1.087e-01
2017-06-09 07:00:00, 2017-06-09 07:59:00, 1210.3, 638.4, 1.418e-05, 1.020e-05, 2.980e-06, 6.334e-04, 4.942e-04, 1.392e-04, 3.868e-05, 3.868e-07, 1.547e-05, 1.097e-06, 1.028e-05, 3.502e-05, 4.197e+03, 1.042e-01, 9.755e-02
2017-06-09 08:00:00, 2017-06-09 08:59:00, 1180.8999999999999, 716.8, 1.372e-05, 9.891e-06, 2.876e-06, 5.854e-04, 4.499e-04, 1.356e-04, 3.790e-05, 3.790e-07, 1.516e-05, 1.010e-06, 9.962e-06, 3.599e-05, 3.788e+03, 9.533e-02, 8.794e-02
2017-06-09 09:00:00, 2017-06-09 09:59:00, 1006.5999999999999, 678.3, 1.341e-05, 9.634e-06, 2.826e-06, 5.878e-04, 4.556e-04, 1.323e-04, 3.625e-05, 3.625e-07, 1.450e-05, 1.068e-06, 1.018e-05, 3.537e-05, 4.059e+03, 1.012e-01, 9.430e-02
2017-06-09 10:00:00, 2017-06-09 10:59:00, 843.5, 739.9, 1.341e-05, 9.634e-06, 2.826e-06, 5.878e-04, 4.556e-04, 1.323e-04, 3.625e-05, 3.625e-07, 1.450e-05, 1.068e-06, 1.018e-05, 3.537e-05, 4.059e+03, 1.012e-01, 9.430e-02
2017-06-09 11:00:00, 2017-06-09 11:59:00, 872.1999999999999, 836.5, 1.415e-05, 1.015e-05, 2.990e-06, 6.357e-04, 4.983e-04, 1.374e-04, 3.788e-05, 3.788e-07, 1.515e-05, 1.051e-06, 1.004e-05, 3.500e-05, 3.989e+03, 1.005e-01, 9.268e-02
2017-06-09 12:00:00, 2017-06-09 12:59:00, 819.0, 905.0999999999999, 1.409e-05, 1.011e-05, 2.976e-06, 6.305e-04, 4.936e-04, 1.369e-04, 3.776e-05, 3.776e-07, 1.511e-05, 1.045e-06, 1.002e-05, 3.508e-05, 3.962e+03, 9.987e-02, 9.205e-02
2017-06-09 13:00:00, 2017-06-09 13:59:00, 893.1999999999999, 973.6999999999999, 1.405e-05, 1.009e-05, 2.968e-06, 6.274e-04, 4.907e-04, 1.367e-04, 3.769e-05, 3.769e-07, 1.508e-05, 1.042e-06, 1.001e-05, 3.514e-05, 3.946e+03, 9.950e-02, 9.166e-02
2017-06-09 14:00:00, 2017-06-09 14:59:00, 917.6999999999999, 1347.5, 1.452e-05, 1.044e-05, 3.054e-06, 6.529e-04, 5.114e-04, 1.414e-04, 3.945e-05, 3.945e-07, 1.578e-05, 1.080e-06, 1.018e-05, 3.493e-05, 4.120e+03, 1.029e-01, 9.573e-02
2017-06-09 15:00:00, 2017-06-09 15:59:00, 1045.8, 1364.3, 1.399e-05, 1.007e-05, 2.937e-06, 6.138e-04, 4.761e-04, 1.377e-04, 3.836e-05, 3.836e-07, 1.534e-05, 1.062e-06, 1.015e-05, 3.542e-05, 4.030e+03, 1.006e-01, 9.362e-02
2017-06-09 16:00:00, 2017-06-09 16:59:00, 1142.3999999999999, 1171.8, 1.354e-05, 9.776e-06, 2.830e-06, 5.715e-04, 4.365e-04, 1.349e-04, 3.780e-05, 3.780e-07, 1.512e-05, 1.027e-06, 1.006e-05, 3.612e-05, 3.860e+03, 9.643e-02, 8.963e-02
2017-06-09 17:00:00, 2017-06-09 17:59:00, 996.0999999999999, 875.0, 1.310e-05, 9.432e-06, 2.755e-06, 5.665e-04, 4.358e-04, 1.306e-04, 3.580e-05, 3.580e-07, 1.432e-05, 1.081e-06, 1.027e-05, 3.558e-05, 4.115e+03, 1.018e-01, 9.560e-02
2017-06-09 18:00:00, 2017-06-09 18:59:00, 751.8, 672.6999999999999, 1.090e-05, 7.791e-06, 2.335e-06, 4.534e-04, 3.460e-04, 1.073e-04, 2.706e-05, 2.706e-07, 1.082e-05, 1.074e-06, 1.025e-05, 3.571e-05, 4.079e+03, 1.010e-01, 9.476e-02
2017-06-09 19:00:00, 2017-06-09 19:59:00, 557.9, 658.6999999999999, 1.077e-05, 7.705e-06, 2.307e-06, 4.424e-04, 3.359e-04, 1.065e-04, 2.683e-05, 2.683e-07, 1.073e-05, 1.055e-06, 1.019e-05, 3.598e-05, 3.987e+03, 9.892e-02, 9.260e-02
2017-06-09 20:00:00, 2017-06-09 20:59:00, 513.1, 734.3, 1.071e-05, 7.659e-06, 2.293e-06, 4.387e-04, 3.327e-04, 1.060e-04, 2.669e-05, 2.669e-07, 1.068e-05, 1.065e-06, 1.024e-05, 3.595e-05, 4.032e+03, 9.977e-02, 9.367e-02
2017-06-09 21:00:00, 2017-06-09 21:59:00, 417.2, 812.6999999999999, 1.060e-05, 7.587e-06, 2.270e-06, 4.326e-04, 3.274e-04, 1.052e-04, 2.647e-05, 2.647e-07, 1.059e-05, 1.076e-06, 1.029e-05, 3.595e-05, 4.085e+03, 1.007e-01, 9.489e-02
