# year	month	day	hour(utc+3)	minute	T_2	TD_2	U_2	WD_2	T_26	TD_26	U_26	WD_26	T_49	TD_49	U_49	WD_49	T_92	TD_92	U_92	WD_92	T_141	TD_141	U_141	WD_141	T_217	TD_217	U_217	WD_217	T_265	TD_265	U_265	WD_265	T_327	TD_327	U_327	WD_327
2017	12	5	0	0	-1.3	-3.4	-999.0	-999.0	-1.7	-3.8	2.7	319.0	-1.5	-3.7	-999.0	-999.0	-1.8	-4.0	5.3	324.0	-2.3	-4.1	-999.0	-999.0	-2.8	-3.5	7.4	312.0	-3.9	-4.3	-999.0	-999.0	-3.9	-4.8	8.3	307.0
2017	12	5	0	10	-1.4	-3.6	-999.0	-999.0	-1.8	-4.0	2.8	319.0	-1.6	-3.8	-999.0	-999.0	-1.9	-4.1	5.4	325.0	-2.3	-4.2	-999.0	-999.0	-2.9	-3.4	7.4	309.0	-4.0	-4.2	-999.0	-999.0	-4.0	-4.7	7.7	303.0
2017	12	5	0	20	-1.5	-3.4	-999.0	-999.0	-1.9	-4.0	2.8	318.0	-1.7	-3.8	-999.0	-999.0	-1.9	-4.1	5.4	318.0	-2.4	-4.2	-999.0	-999.0	-3.0	-3.3	7.0	304.0	-4.0	-4.2	-999.0	-999.0	-4.0	-4.7	7.8	302.0
2017	12	5	0	30	-1.5	-3.4	-999.0	-999.0	-1.8	-4.0	2.6	314.0	-1.7	-3.9	-999.0	-999.0	-2.0	-4.1	5.0	316.0	-2.4	-4.3	-999.0	-999.0	-3.0	-3.6	7.3	306.0	-4.0	-4.4	-999.0	-999.0	-4.0	-4.8	7.6	303.0
2017	12	5	0	40	-1.5	-3.5	-999.0	-999.0	-1.9	-3.9	2.6	312.0	-1.7	-3.8	-999.0	-999.0	-2.1	-4.1	4.9	316.0	-2.4	-4.2	-999.0	-999.0	-3.1	-3.3	7.0	303.0	-4.1	-4.2	-999.0	-999.0	-4.0	-4.7	7.5	301.0
2017	12	5	0	50	-1.6	-3.3	-999.0	-999.0	-2.0	-3.9	2.4	311.0	-1.8	-3.8	-999.0	-999.0	-2.1	-4.0	4.5	310.0	-2.5	-4.1	-999.0	-999.0	-3.1	-3.3	6.4	302.0	-4.1	-4.1	-999.0	-999.0	-3.3	-5.2	7.6	305.0
2017	12	5	1	0	-1.6	-3.4	-999.0	-999.0	-2.0	-3.9	2.5	304.0	-1.8	-3.8	-999.0	-999.0	-2.1	-4.0	4.7	310.0	-2.5	-4.1	-999.0	-999.0	-3.1	-3.4	6.9	303.0	-4.0	-4.3	-999.0	-999.0	-3.0	-6.0	8.4	310.0
2017	12	5	1	10	-1.6	-3.5	-999.0	-999.0	-2.0	-4.0	2.6	307.0	-1.8	-3.8	-999.0	-999.0	-2.2	-4.1	4.7	314.0	-2.6	-4.1	-999.0	-999.0	-3.2	-3.5	7.2	306.0	-3.8	-4.8	-999.0	-999.0	-2.8	-6.3	9.6	313.0
2017	12	5	1	20	-1.6	-3.4	-999.0	-999.0	-2.1	-3.8	2.3	303.0	-1.9	-3.7	-999.0	-999.0	-2.2	-4.0	4.4	309.0	-2.7	-4.0	-999.0	-999.0	-3.3	-3.3	6.6	298.0	-3.6	-4.4	-999.0	-999.0	-2.2	-6.7	10.0	310.0
2017	12	5	1	30	-1.7	-3.4	-999.0	-999.0	-2.0	-4.0	2.3	295.0	-1.8	-3.8	-999.0	-999.0	-2.2	-3.9	4.4	303.0	-2.6	-3.9	-999.0	-999.0	-3.1	-3.1	6.7	296.0	-3.3	-5.2	-999.0	-999.0	-2.1	-7.5	10.6	312.0
2017	12	5	1	40	-1.7	-3.3	-999.0	-999.0	-2.1	-3.8	2.5	291.0	-1.9	-3.6	-999.0	-999.0	-2.2	-3.9	4.5	300.0	-2.6	-3.9	-999.0	-999.0	-2.9	-3.2	7.2	295.0	-2.9	-5.2	-999.0	-999.0	-1.6	-6.5	10.9	308.0
2017	12	5	1	50	-1.7	-3.3	-999.0	-999.0	-2.2	-3.7	2.3	283.0	-2.0	-3.6	-999.0	-999.0	-2.3	-3.7	4.4	297.0	-2.7	-3.9	-999.0	-999.0	-2.5	-3.8	8.1	300.0	-2.3	-5.0	-999.0	-999.0	-1.3	-6.5	11.5	308.0
2017	12	5	2	0	-1.8	-3.2	-999.0	-999.0	-2.2	-3.7	2.4	284.0	-2.0	-3.6	-999.0	-999.0	-2.4	-3.7	4.6	296.0	-2.6	-4.0	-999.0	-999.0	-2.2	-3.9	8.6	304.0	-1.4	-5.9	-999.0	-999.0	-1.1	-7.3	11.5	304.0
2017	12	5	2	10	-1.8	-3.2	-999.0	-999.0	-2.2	-3.7	2.3	281.0	-2.0	-3.5	-999.0	-999.0	-2.3	-3.7	4.5	292.0	-2.5	-3.9	-999.0	-999.0	-0.4	-5.6	9.4	308.0	-1.2	-6.7	-999.0	-999.0	-1.1	-5.4	11.0	302.0
2017	12	5	2	20	-1.8	-3.2	-999.0	-999.0	-2.3	-3.6	2.7	284.0	-2.1	-3.4	-999.0	-999.0	-2.3	-3.7	5.2	296.0	-2.4	-3.9	-999.0	-999.0	-0.7	-3.7	9.6	307.0	-1.3	-5.3	-999.0	-999.0	-1.1	-4.6	10.7	300.0
2017	12	5	2	30	-1.8	-3.2	-999.0	-999.0	-2.3	-3.6	2.5	286.0	-2.0	-3.5	-999.0	-999.0	-2.3	-3.6	5.2	295.0	-2.6	-3.9	-999.0	-999.0	-0.7	-1.8	10.0	301.0	-1.4	-2.2	-999.0	-999.0	-1.1	-3.0	11.1	295.0
2017	12	5	2	40	-1.9	-3.2	-999.0	-999.0	-2.3	-3.6	2.4	287.0	-2.0	-3.4	-999.0	-999.0	-2.2	-3.6	5.1	288.0	-2.5	-3.7	-999.0	-999.0	-1.1	-1.7	10.3	297.0	-1.3	-2.5	-999.0	-999.0	-1.2	-3.0	11.8	293.0
2017	12	5	2	50	-2.0	-3.2	-999.0	-999.0	-2.3	-3.6	2.6	284.0	-2.0	-3.3	-999.0	-999.0	-2.1	-3.4	5.6	288.0	-2.4	-3.5	-999.0	-999.0	-1.9	-2.4	9.5	288.0	-2.1	-2.3	-999.0	-999.0	-1.5	-2.8	11.8	288.0
2017	12	5	3	0	-2.2	-3.2	-999.0	-999.0	-2.4	-3.4	2.1	271.0	-2.0	-3.2	-999.0	-999.0	-2.2	-3.3	4.5	283.0	-2.3	-3.1	-999.0	-999.0	-1.4	-1.8	10.6	288.0	-1.8	-2.3	-999.0	-999.0	-1.6	-3.1	12.3	286.0
2017	12	5	3	10	-2.4	-3.2	-999.0	-999.0	-2.4	-3.4	2.4	266.0	-2.0	-3.2	-999.0	-999.0	-2.1	-3.1	5.0	286.0	-1.8	-2.8	-999.0	-999.0	-1.1	-1.5	11.6	288.0	-1.7	-2.4	-999.0	-999.0	-1.3	-3.4	11.8	286.0
2017	12	5	3	20	-2.4	-3.2	-999.0	-999.0	-2.4	-3.3	2.4	270.0	-1.9	-3.0	-999.0	-999.0	-1.9	-3.0	5.3	290.0	-2.0	-3.0	-999.0	-999.0	-0.9	-1.5	11.2	291.0	-1.6	-2.3	-999.0	-999.0	-1.1	-2.8	12.3	290.0
