piste,pvm,aika,suunta,autot,suunta,autot
510,27.11.2017,00:00:00,1,86,2,53
510,27.11.2017,00:15:00,1,59,2,40
510,27.11.2017,00:30:00,1,50,2,35
510,27.11.2017,00:45:00,1,35,2,49
510,27.11.2017,01:00:00,1,51,2,24
510,27.11.2017,01:15:00,1,34,2,28
510,27.11.2017,01:30:00,1,29,2,11
510,27.11.2017,01:45:00,1,13,2,12
510,27.11.2017,02:00:00,1,15,2,21
510,27.11.2017,02:15:00,1,15,2,14
510,27.11.2017,02:30:00,1,9,2,6
510,27.11.2017,02:45:00,1,9,2,14
510,27.11.2017,03:00:00,1,7,2,7
510,27.11.2017,03:15:00,1,11,2,12
510,27.11.2017,03:30:00,1,15,2,15
510,27.11.2017,03:45:00,1,23,2,23
510,27.11.2017,04:00:00,1,18,2,20
510,27.11.2017,04:15:00,1,23,2,33
510,27.11.2017,04:30:00,1,25,2,28
510,27.11.2017,04:45:00,1,36,2,30
510,27.11.2017,05:00:00,1,31,2,31
510,27.11.2017,05:15:00,1,71,2,50
510,27.11.2017,05:30:00,1,98,2,88
510,27.11.2017,05:45:00,1,149,2,89
510,27.11.2017,06:00:00,1,185,2,142
510,27.11.2017,06:15:00,1,277,2,159
510,27.11.2017,06:30:00,1,359,2,197
510,27.11.2017,06:45:00,1,424,2,188
510,27.11.2017,07:00:00,1,435,2,182
510,27.11.2017,07:15:00,1,451,2,209
510,27.11.2017,07:30:00,1,432,2,275
510,27.11.2017,07:45:00,1,469,2,258
510,27.11.2017,08:00:00,1,412,2,283
510,27.11.2017,08:15:00,1,445,2,281
510,27.11.2017,08:30:00,1,483,2,270
510,27.11.2017,08:45:00,1,485,2,296
510,27.11.2017,09:00:00,1,505,2,236
510,27.11.2017,09:15:00,1,480,2,237
510,27.11.2017,09:30:00,1,353,2,205
510,27.11.2017,09:45:00,1,325,2,229
510,27.11.2017,10:00:00,1,283,2,210
510,27.11.2017,10:15:00,1,274,2,249
510,27.11.2017,10:30:00,1,259,2,256
510,27.11.2017,10:45:00,1,213,2,264
510,27.11.2017,11:00:00,1,281,2,225
510,27.11.2017,11:15:00,1,267,2,274
510,27.11.2017,11:30:00,1,282,2,284
510,27.11.2017,11:45:00,1,312,2,280
510,27.11.2017,12:00:00,1,276,2,278
510,27.11.2017,12:15:00,1,274,2,280
510,27.11.2017,12:30:00,1,289,2,271
510,27.11.2017,12:45:00,1,254,2,261
510,27.11.2017,13:00:00,1,214,2,285
510,27.11.2017,13:15:00,1,264,2,291
510,27.11.2017,13:30:00,1,310,2,310
510,27.11.2017,13:45:00,1,268,2,281
510,27.11.2017,14:00:00,1,283,2,340
510,27.11.2017,14:15:00,1,245,2,399
510,27.11.2017,14:30:00,1,270,2,421
510,27.11.2017,14:45:00,1,256,2,471
510,27.11.2017,15:00:00,1,270,2,497
510,27.11.2017,15:15:00,1,276,2,235
510,27.11.2017,15:30:00,1,340,2,466
510,27.11.2017,15:45:00,1,370,2,467
510,27.11.2017,16:00:00,1,341,2,488
510,27.11.2017,16:15:00,1,352,2,488
510,27.11.2017,16:30:00,1,351,2,494
510,27.11.2017,16:45:00,1,363,2,466
510,27.11.2017,17:00:00,1,314,2,416
510,27.11.2017,17:15:00,1,349,2,377
510,27.11.2017,17:30:00,1,331,2,381
510,27.11.2017,17:45:00,1,294,2,347
510,27.11.2017,18:00:00,1,284,2,297
510,27.11.2017,18:15:00,1,257,2,318
510,27.11.2017,18:30:00,1,279,2,270
510,27.11.2017,18:45:00,1,192,2,254
510,27.11.2017,19:00:00,1,181,2,205
510,27.11.2017,19:15:00,1,234,2,244
510,27.11.2017,19:30:00,1,214,2,228
510,27.11.2017,19:45:00,1,222,2,196
510,27.11.2017,20:00:00,1,194,2,243
510,27.11.2017,20:15:00,1,172,2,222
510,27.11.2017,20:30:00,1,150,2,207
510,27.11.2017,20:45:00,1,173,2,198
510,27.11.2017,21:00:00,1,132,2,225
510,27.11.2017,21:15:00,1,112,2,184
510,27.11.2017,21:30:00,1,96,2,145
510,27.11.2017,21:45:00,1,111,2,90
510,27.11.2017,22:00:00,1,89,2,119
510,27.11.2017,22:15:00,1,72,2,105
510,27.11.2017,22:30:00,1,74,2,63
510,27.11.2017,22:45:00,1,101,2,67
510,27.11.2017,23:00:00,1,102,2,78
510,27.11.2017,23:15:00,1,83,2,73
510,27.11.2017,23:30:00,1,68,2,67
510,27.11.2017,23:45:00,1,80,2,44
510,28.11.2017,00:00:00,1,75,2,82
510,28.11.2017,00:15:00,1,86,2,48
510,28.11.2017,00:30:00,1,54,2,38
510,28.11.2017,00:45:00,1,31,2,37
510,28.11.2017,01:00:00,1,46,2,27
